catalogNumber,acceptedNameUsage,acceptedNameUsageID,sex,recordLevel,traitName,measurementType,measurementTypeID,measurementRemarks,measurementValue,measurementUnit
LACM ENT 602482,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.3167,grams
LACM ENT 602474,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.2407,grams
LACM ENT 602468,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.2257,grams
LACM ENT 602477,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1757,grams
LACM ENT 602497,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.2727,grams
LACM ENT 602466,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1847,grams
LACM ENT 602521,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1237,grams
LACM ENT 602502,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1767,grams
LACM ENT 602534,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.3047,grams
LACM ENT 602484,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1507,grams
LACM ENT 602476,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.2247,grams
LACM ENT 602525,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1957,grams
LACM ENT 602552,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.2107,grams
LACM ENT 601558,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.2787,grams
LACM ENT 602522,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,dry mass,NA,NA,0.1697,grams
UCSB-IZC00009226,"Xylocopa californica subsp. californica Cresson, 1879",NA,male,individual,body size,dry mass,NA,NA,0.1497,grams
UCSB-IZC00009199,"Xylocopa californica subsp. californica Cresson, 1879",NA,male,individual,body size,dry mass,NA,NA,0.1517,grams
UCSB-IZC00009220,"Xylocopa californica subsp. diamesa Hurd, 1955",GBIF:1342518,male,individual,body size,dry mass,NA,NA,0.1317,grams
UCSB-IZC00009229,"Xylocopa californica subsp. diamesa Hurd, 1955",GBIF:1342518,male,individual,body size,dry mass,NA,NA,0.2037,grams
LACM ENT 602487,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.2377,grams
LACM ENT 602483,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.2557,grams
LACM ENT 602485,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.2397,grams
LACM ENT 602499,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.2227,grams
LACM ENT 602461,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.3167,grams
LACM ENT 602492,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.1717,grams
LACM ENT 602520,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.1767,grams
LACM ENT 602527,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.2347,grams
LACM ENT 601551,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.1997,grams
LACM ENT 601491,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.3087,grams
LACM ENT 601528,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.2547,grams
LACM ENT 602519,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,dry mass,NA,NA,0.3417,grams
